iter	Accuracy	MultiClass
94	0.954218107	0.2574354108
95	0.9557613169	0.2555806157
96	0.9547325103	0.253930024
97	0.9557613169	0.2521662929
98	0.9573045267	0.2504677908
99	0.9588477366	0.2482505804
100	0.9593621399	0.2476259067
101	0.9603909465	0.2460530347
102	0.9603909465	0.244011878
103	0.9603909465	0.2424904851
104	0.9603909465	0.2418569823
105	0.9609053498	0.2408176421
106	0.9609053498	0.2400363664
107	0.9619341564	0.2387178255
108	0.9619341564	0.2368077265
109	0.9624485597	0.2354449416
110	0.9619341564	0.2344195101
111	0.9624485597	0.2328558476
112	0.9624485597	0.2315849197
113	0.9634773663	0.2296919122
114	0.962962963	0.2287363668
115	0.962962963	0.227602519
116	0.962962963	0.226529732
117	0.962962963	0.2245903917
118	0.9634773663	0.2227904443
119	0.9639917695	0.2209581721
120	0.9655349794	0.2199633093
121	0.9655349794	0.2185934835
122	0.966563786	0.2171695864
123	0.9686213992	0.2154634909
124	0.9670781893	0.2142558076
125	0.9670781893	0.2125744033
126	0.966563786	0.211633968
127	0.966563786	0.2107967189
128	0.9681069959	0.2097712058
129	0.9686213992	0.2085274558
130	0.9691358025	0.2063409335
131	0.9696502058	0.2052907141
132	0.9701646091	0.2040382149
133	0.9701646091	0.2028269504
134	0.9717078189	0.2008886787
135	0.9717078189	0.1992348717
136	0.9717078189	0.19816422
137	0.9711934156	0.1970734783
138	0.9727366255	0.1952684022
139	0.9732510288	0.1945132163
140	0.9732510288	0.193736684
141	0.9742798354	0.1930675192
142	0.9737654321	0.1920528502
143	0.9742798354	0.1914551853
144	0.975308642	0.1904699564
145	0.975308642	0.1890596539
146	0.9758230453	0.1887771758
147	0.9758230453	0.1878925365
148	0.975308642	0.1864809367
149	0.975308642	0.1849786415
150	0.975308642	0.1840308614
151	0.9768518519	0.1832081765
152	0.9773662551	0.1822333208
153	0.9768518519	0.1812873684
154	0.9773662551	0.1800199034
155	0.9778806584	0.1792919068
156	0.9773662551	0.1785220514
157	0.9773662551	0.1772965587
158	0.9794238683	0.1761303431
159	0.9778806584	0.1747849396
160	0.9783950617	0.1743108719
161	0.9783950617	0.1736859148
162	0.978909465	0.1732464195
163	0.978909465	0.1727930061
164	0.978909465	0.1716212482
165	0.9799382716	0.1710255665
166	0.9804526749	0.1700377847
167	0.9804526749	0.1687951785
168	0.9819958848	0.1680228015
169	0.9819958848	0.1674190641
170	0.9825102881	0.1666499951
171	0.9835390947	0.1658446088
172	0.9835390947	0.1649969489
173	0.9830246914	0.1644893682
174	0.9845679012	0.1637119705
175	0.9840534979	0.1631016466
176	0.9840534979	0.1622028888
177	0.9845679012	0.1618388217
178	0.9845679012	0.1606863697
179	0.9840534979	0.1597534045
180	0.9850823045	0.1591438068
181	0.9845679012	0.1584017464
182	0.9845679012	0.1581301284
183	0.9850823045	0.1573029497
184	0.9850823045	0.1568486209
185	0.9861111111	0.1551935527
186	0.9855967078	0.1542947582
187	0.9861111111	0.1535311466
188	0.9861111111	0.1531418167
189	0.9866255144	0.1523182584
190	0.9866255144	0.1516291103
191	0.9866255144	0.1510415378
192	0.9866255144	0.1505553163
193	0.9871399177	0.1499485486
194	0.9871399177	0.1492938569
195	0.9871399177	0.1485918134
196	0.9866255144	0.1480694024
197	0.9871399177	0.147141977
198	0.987654321	0.1464008789
199	0.987654321	0.1457183226
200	0.987654321	0.1453065143
201	0.987654321	0.1449675805
202	0.987654321	0.1445498423
203	0.987654321	0.1435625986
204	0.987654321	0.1431456406
205	0.987654321	0.1424971428
206	0.987654321	0.1419249276
207	0.987654321	0.1416062195
208	0.9881687243	0.1408384471
209	0.9881687243	0.1405257618
210	0.9886831276	0.13949039
211	0.9881687243	0.1383047774
212	0.9881687243	0.1378290243
213	0.9886831276	0.1373332095
214	0.9886831276	0.136986522
215	0.9891975309	0.1362503018
216	0.9886831276	0.1358359236
217	0.9886831276	0.1351834564
218	0.9886831276	0.1346824104
219	0.9897119342	0.134428257
220	0.9897119342	0.1338163044
221	0.9897119342	0.1334449635
222	0.9897119342	0.132888638
223	0.9897119342	0.1320894672
224	0.9897119342	0.1317379015
225	0.9897119342	0.1314621952
226	0.9897119342	0.1309182045
227	0.9891975309	0.1306713631
228	0.9902263374	0.1302226663
229	0.9902263374	0.1298723336
230	0.9902263374	0.1292919429
231	0.9902263374	0.1289194261
232	0.9902263374	0.1283721546
233	0.991255144	0.1279203843
234	0.9907407407	0.1273896579
235	0.991255144	0.1268614054
236	0.991255144	0.1265255287
237	0.9917695473	0.1257513714
238	0.9917695473	0.1254413521
239	0.991255144	0.124973046
240	0.9933127572	0.1247922192
241	0.9933127572	0.1238302029
242	0.9933127572	0.1233180522
243	0.9933127572	0.1229301201
244	0.9938271605	0.122809242
245	0.9938271605	0.1221019115
246	0.9943415638	0.1217944373
247	0.9943415638	0.1209572899
248	0.9943415638	0.1207221086
249	0.9938271605	0.1204911688
250	0.9943415638	0.1199272764
251	0.9943415638	0.1191090222
252	0.9943415638	0.1188615973
253	0.9943415638	0.1183504347
254	0.9943415638	0.1181106849
255	0.9943415638	0.117597914
256	0.9943415638	0.1170938607
257	0.9943415638	0.1168619473
258	0.9943415638	0.1165820023
259	0.9943415638	0.1161724856
260	0.9943415638	0.1159872651
261	0.9948559671	0.1156781395
262	0.9953703704	0.1150696625
263	0.9953703704	0.1143743893
264	0.9948559671	0.1139229395
265	0.9958847737	0.1131737113
266	0.9958847737	0.1128089847
267	0.9958847737	0.1120923017
268	0.996399177	0.1119316284
269	0.9958847737	0.1116486573
270	0.9958847737	0.1114750347
271	0.9958847737	0.1110792687
272	0.9958847737	0.1107759364
273	0.9958847737	0.1102578983
274	0.996399177	0.1098448568
275	0.996399177	0.1092608235
276	0.996399177	0.1090256183
277	0.996399177	0.1085911616
278	0.996399177	0.108242607
279	0.996399177	0.1078753438
280	0.996399177	0.1074818748
281	0.996399177	0.1072034646
282	0.996399177	0.1069340611
283	0.996399177	0.1068581094
284	0.996399177	0.1064927006
285	0.996399177	0.1062994164
286	0.996399177	0.1056827113
287	0.996399177	0.1053332742
288	0.996399177	0.1049579672
289	0.996399177	0.1047181744
290	0.996399177	0.1042462688
291	0.996399177	0.1039679614
292	0.996399177	0.1032888973
293	0.996399177	0.1029501195
294	0.996399177	0.1025633952
295	0.996399177	0.1023937713
296	0.996399177	0.1021609811
297	0.996399177	0.1019706801
298	0.996399177	0.1013479058
299	0.996399177	0.1007272632
300	0.996399177	0.1001926671
301	0.996399177	0.09988276413
302	0.996399177	0.09954154932
303	0.996399177	0.09935099649
304	0.996399177	0.09897578349
305	0.996399177	0.09846318478
306	0.996399177	0.09813987209
307	0.996399177	0.09767725026
308	0.996399177	0.09749271783
309	0.996399177	0.09727412052
